Country,Party,Dimension,Mean
AL,PAD,Taxes v. Spending,12.75
AL,PAD,Social,4.666666508
AL,PAD,Privatization,12
AL,PAD,EU joining,17.75
AL,PAD,Environment,12.75
AL,PAD,Former Communists,5.5
AL,PAD,Foreign Land Ownership,7.75
AL,PAD,Media Freedom,7.5
AL,PAD,Nationalism,7.25
AL,PAD,Religion,15.5
AL,PAD,Urban-Rural,4.666666508
AL,PAD,Decentralization,5
AL,PAD,Left-Right,13
AL,PAD,Sympathy,12
AL,PBDNJ,Taxes v. Spending,8.466666222
AL,PBDNJ,Social,10.60000038
AL,PBDNJ,Privatization,10.27272701
AL,PBDNJ,EU joining,17.7142849
AL,PBDNJ,Environment,11.64285755
AL,PBDNJ,Former Communists,7.571428776
AL,PBDNJ,Foreign Land Ownership,6
AL,PBDNJ,Media Freedom,7
AL,PBDNJ,Nationalism,4.714285851
AL,PBDNJ,Religion,12.76923084
AL,PBDNJ,Urban-Rural,10.54545498
AL,PBDNJ,Decentralization,5.666666508
AL,PBDNJ,Left-Right,7.916666508
AL,PBDNJ,Sympathy,15.60000038
AL,PD,Taxes v. Spending,12
AL,PD,Social,11.53846169
AL,PD,Privatization,15.0666666
AL,PD,EU joining,18.25
AL,PD,Environment,13.60000038
AL,PD,Former Communists,15
AL,PD,Foreign Land Ownership,9.142857552
AL,PD,Media Freedom,8.285714149
AL,PD,Nationalism,11.60000038
AL,PD,Religion,16.7857151
AL,PD,Urban-Rural,8
AL,PD,Decentralization,7.875
AL,PD,Left-Right,13.26666641
AL,PD,Sympathy,8.899999619
AL,PDr,Taxes v. Spending,12.5714283
AL,PDr,Social,10.27272701
AL,PDr,Privatization,13.81818199
AL,PDr,EU joining,18.53846169
AL,PDr,Environment,13.07692337
AL,PDr,Former Communists,11.78571415
AL,PDr,Foreign Land Ownership,8.666666985
AL,PDr,Media Freedom,7.615384579
AL,PDr,Nationalism,9.142857552
AL,PDr,Religion,18.07692337
AL,PDr,Urban-Rural,7.363636494
AL,PDr,Decentralization,8
AL,PDr,Left-Right,12.53846169
AL,PDr,Sympathy,10
AL,PLL,Taxes v. Spending,16
AL,PLL,Social,14
AL,PLL,Privatization,17.5
AL,PLL,EU joining,18
AL,PLL,Environment,11
AL,PLL,Former Communists,19
AL,PLL,Foreign Land Ownership,12
AL,PLL,Media Freedom,13.5
AL,PLL,Nationalism,19
AL,PLL,Religion,12.66666698
AL,PLL,Urban-Rural,7
AL,PLL,Decentralization,9
AL,PLL,Left-Right,17.66666603
AL,PLL,Sympathy,12
AL,PR,Taxes v. Spending,12.86666679
AL,PR,Social,14.25
AL,PR,Privatization,15.84615421
AL,PR,EU joining,17.53333282
AL,PR,Environment,13.53846169
AL,PR,Former Communists,17
AL,PR,Foreign Land Ownership,13.08333302
AL,PR,Media Freedom,9.899999619
AL,PR,Nationalism,14.9333334
AL,PR,Religion,15.53846169
AL,PR,Urban-Rural,10
AL,PR,Decentralization,9.5
AL,PR,Left-Right,15
AL,PR,Sympathy,10.10000038
AL,PS,Taxes v. Spending,5.9375
AL,PS,Social,10.30769253
AL,PS,Privatization,11.33333302
AL,PS,EU joining,18.13333321
AL,PS,Environment,13.19999981
AL,PS,Former Communists,3.9375
AL,PS,Foreign Land Ownership,9
AL,PS,Media Freedom,10.64285755
AL,PS,Nationalism,5.25
AL,PS,Religion,19
AL,PS,Urban-Rural,12.46153831
AL,PS,Decentralization,9.0625
AL,PS,Left-Right,7.533333302
AL,PS,Sympathy,14.36363602
AL,PSD,Taxes v. Spending,6.785714149
AL,PSD,Social,9.25
AL,PSD,Privatization,10.08333302
AL,PSD,EU joining,18.61538506
AL,PSD,Environment,13.15384579
AL,PSD,Former Communists,4.214285851
AL,PSD,Foreign Land Ownership,8.399999619
AL,PSD,Media Freedom,8.5
AL,PSD,Nationalism,6.461538315
AL,PSD,Religion,18.25
AL,PSD,Urban-Rural,9.777777672
AL,PSD,Decentralization,7.923077106
AL,PSD,Left-Right,5.923077106
AL,PSD,Sympathy,15.18181801
BY,APB,Taxes v. Spending,8.25
BY,APB,Privatization,10.5
BY,APB,EU joining,12.25
BY,APB,Environment,14
